zipcode|total_pop|total_income|avg_income
0|345220|25354974|73445.84323040381
99501|7690|612242|79615.344603381
99502|11860|1000685|84374.7892074199
99503|7510|462394|61570.43941411451
99504|19440|1176109|60499.4341563786
99505|2280|95855|42041.666666666664
99506|2950|123224|41770.84745762712
99507|18470|1505759|81524.58040064969
99508|15170|881183|58087.21160184575
99515|11140|1081486|97081.32854578097
99516|9780|1525045|155935.07157464212
99517|8060|670063|83134.36724565757
99518|5190|360329|69427.55298651253
99540|160|12179|76118.75
99556|1080|63140|58462.96296296296
99559|3090|190402|61618.77022653721
99567|4160|350830|84334.13461538461
99568|130|8460|65076.92307692308
99572|220|14656|66618.18181818181
99573|440|22863|51961.36363636364
99577|12770|1201986|94125.7635082224
99586|230|11199|48691.30434782609
99588|660|40654|61596.969696969696
99603|5550|391997|70630.09009009009
99610|1080|76005|70375.0
99611|6450|454648|70488.06201550388
99615|6250|400538|64086.08
99631|140|9912|70800.0
99639|610|37053|60742.62295081967
99645|13180|993654|75391.04704097117
99654|15060|1106246|73455.9096945551
99664|2260|146233|64704.86725663717
99669|7680|612402|79739.84375
99672|1630|118334|72597.54601226996
99674|690|39601|57392.75362318841
99676|960|55877|58205.20833333333
99686|2000|170342|85171.0
99688|1320|78000|59090.90909090909
99701|8110|471980|58197.28729963009
99702|1290|57606|44655.81395348837
99703|3320|132232|39828.9156626506
99705|9040|629505|69635.50884955752
99709|10920|849069|77753.57142857143
99712|4420|367212|83079.63800904977
99714|450|30629|68064.44444444445
99737|1840|122002|66305.4347826087
99743|600|45476|75793.33333333333
99760|320|20087|62771.875
99780|800|42210|52762.5
99801|12210|934332|76521.86732186732
99824|1130|90831|80381.41592920353
99827|1270|88825|69940.94488188977
99833|1700|114471|67335.88235294117
99835|4470|316394|70781.65548098434
99901|6280|437711|69699.20382165605
99999|69840|4502817|64473.32474226804
0|2036290|125478058|61620.917452818605
35004|5200|302269|58128.65384615385
35005|3190|130555|40926.332288401245
35006|1240|65411|52750.806451612894
35007|12050|743431|61695.51867219917
35010|7840|410413|52348.59693877551
35014|1600|79981|49988.125
35016|7210|385033|53402.63522884881
35019|890|44467|49962.92134831461
35020|8950|254213|28403.687150837988
35022|10170|597418|58743.16617502458
35023|10120|500960|49501.97628458498
35031|2960|132958|44918.24324324324
35033|1370|78406|57230.65693430657
35034|1310|53827|41089.31297709924
35035|570|50773|89075.43859649124
35040|7880|451614|57311.42131979696
35042|2240|109244|48769.642857142855
35043|5610|496527|88507.48663101603
35044|3110|139751|44936.01286173634
35045|5570|279193|50124.41651705566
35046|2320|144501|62284.91379310345
35049|1570|84597|53883.43949044585
35051|3420|226050|66096.49122807018
35053|1100|80598|73270.90909090909
35054|1780|132480|74426.96629213484
35055|8060|452074|56088.58560794045
35057|5330|312812|58688.93058161351
35058|4230|235723|55726.47754137116
35061|620|22649|36530.64516129032
35062|3220|190921|59292.23602484472
35063|1220|55770|45713.11475409836
35064|4060|144789|35662.31527093596
35068|3840|198913|51800.260416666664
35071|7600|502675|66141.44736842105
35072|1790|71828|40127.374301675976
35073|940|36515|38845.74468085106
35077|5300|237000|44716.981132075474
35078|940|56495|60101.063829787236
35079|3570|198085|55485.9943977591
35080|8270|625720|75661.42684401451
35083|1170|57315|48987.179487179485
35085|3400|162834|47892.35294117647
35087|830|35784|43113.25301204819
35089|740|26192|35394.59459459459
35091|1330|95978|72163.90977443609
35094|6330|385992|60978.1990521327
35096|3450|187502|54348.40579710145
35097|760|37403|49214.47368421053
35098|560|25480|45500.0
35111|7290|481018|65983.26474622771
35114|3160|216757|68593.98734177215
35115|5350|254473|47565.04672897196
35116|2040|136083|66707.35294117648
35117|2710|180055|66440.9594095941
35118|1320|65205|49397.72727272727
35120|6370|364187|57172.21350078493
35121|5880|322724|54885.03401360544
35124|11830|1004652|84924.09129332207
35125|4460|205579|46093.94618834081
35126|9540|510996|53563.522012578615
35127|4350|227002|52184.36781609195
35128|4360|285361|65449.77064220184
35130|1250|57256|45804.8
35131|1570|68566|43672.611464968155
35133|1680|85740|51035.71428571429
35135|810|47029|58060.4938271605
35136|660|33733|51110.606060606064
35143|1240|72578|58530.64516129032
35146|4620|322554|69816.88311688312
35147|2330|178979|76815.02145922746
35148|1080|48376|44792.59259259259
35150|7000|310258|44322.571428571435
35151|2940|153808|52315.6462585034
35160|9610|410515|42717.48178980229
35171|1340|74603|55673.880597014926
35172|1140|50985|44723.68421052632
35173|13140|1206986|91855.85996955859
35175|2090|124230|59440.19138755981
35176|330|15120|45818.181818181816
35178|1450|74912|51663.44827586207
35179|3890|209089|53750.385604113115
35180|5750|346335|60232.17391304348
35183|290|13979|48203.44827586207
35184|2090|99151|47440.669856459324
35186|2060|151824|73700.9708737864
35188|1140|64947|56971.052631578954
35203|1440|190356|132191.66666666666
35204|3370|92991|27593.768545994066
35205|7590|493898|65072.20026350461
35206|6400|206374|32245.9375
35207|3110|83836|26956.913183279743
35208|5500|160164|29120.727272727276
35209|11970|1401725|117103.1746031746
35210|6670|443870|66547.2263868066
35211|9960|321884|32317.670682730924
35212|4450|173159|38912.13483146067
35213|7160|1779399|248519.4134078212
35214|8140|312923|38442.62899262899
35215|19620|680951|34706.98267074414
35216|16190|1536708|94917.1093267449
35217|4900|175230|35761.22448979592
35218|2430|63675|26203.703703703704
35221|1700|48994|28820.0
35222|4050|415884|102687.4074074074
