Provider ID|Hospital overall rating|Hospital overall rating footnote|Mortality national comparison|Mortality national comparison footnote|Safety of care national comparison|Safety of care national comparison footnote|Readmission national comparison|Readmission national comparison footnote|Patient experience national comparison|Patient experience national comparison footnote|Effectiveness of care national comparison|Effectiveness of care national comparison footnote|Timeliness of care national comparison|Timeliness of care national comparison footnote|Efficient use of medical imaging national comparison|Efficient use of medical imaging national comparison footnote
10005|3||Below the national average||Same as the national average||Above the national average||Same as the national average||Same as the national average||Above the national average||Below the national average|
10012|3||Below the national average||Same as the national average||Same as the national average||Same as the national average||Same as the national average||Above the national average||Same as the national average|
10032|4||Same as the national average||Not Available|Results are not available for this reporting period|Same as the national average||Not Available|Results are not available for this reporting period|Same as the national average||Same as the national average||Not Available|Results are not available for this reporting period
10095|Not Available|There are too few measures or measure groups reported to calculate a star rating or measure group score|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Below the national average||Same as the national average||Not Available|Results are not available for this reporting period
10131|3||Below the national average||Above the national average||Same as the national average||Same as the national average||Same as the national average||Same as the national average||Same as the national average|
11304|Not Available|There are too few measures or measure groups reported to calculate a star rating or measure group score|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Same as the national average||Not Available|Results are not available for this reporting period
20018|3|This hospitals star rating only includes data reported on inpatient services|Same as the national average||Not Available|Results are not available for this reporting period|Same as the national average||Below the national average||Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period
21308|Not Available|There are too few measures or measure groups reported to calculate a star rating or measure group score|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period
21309|Not Available|There are too few measures or measure groups reported to calculate a star rating or measure group score|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period
21310|Not Available|Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs|Not Available|Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs|Not Available|Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs|Not Available|Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs|Not Available|Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs|Not Available|Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs|Not Available|Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs|Not Available|Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs
