ZIP|City/Location Name|STATE|County Name|Zip Code Designation
99546|Adak|AK|ALEUTIANS WEST|Low Income Area/HPSA
99551|Akiachak|AK|BETHEL|Low Income Area/HPSA
99553|Akutan|AK|ALEUTIANS EAST|Low Income Area/HPSA
99554|Alakanuk|AK|WADE HAMPTON|Low Income Area/HPSA
99555|Aleknagik|AK|DILLINGHAM|Low Income Area/HPSA
99720|Allakaket|AK|YUKON-KOYUKUK|Low Income Area/HPSA
99721|Anaktuvuk Pass|AK|NORTH SLOPE|Low Income Area/HPSA
99556|Anchor Point|AK|KENAI PENINSULA|Low Income Area
99501|Anchorage|AK|ANCHORAGE|Low Income Area
99503|Anchorage|AK|ANCHORAGE|Low Income Area
99508|Anchorage|AK|ANCHORAGE|Low Income Area
99744|Anderson|AK|DENALI |HPSA
99820|Angoon|AK|ANGOON |Low Income Area/HPSA
99557|Aniak|AK|BETHEL|Low Income Area/HPSA
99558|Anvik|AK|YUKON-KOYUKUK|Low Income Area/HPSA
99722|Arctic Village|AK|YUKON-KOYUKUK|Low Income Area/HPSA
99547|Atka|AK|ALEUTIANS WEST|Low Income Area/HPSA
99723|Barrow|AK|NORTH SLOPE|HPSA
99724|Beaver|AK|YUKON-KOYUKUK|Low Income Area/HPSA
99559|Bethel|AK|BETHEL|Low Income Area/HPSA
99726|Bettles Field|AK|YUKON-KOYUKUK|Low Income Area/HPSA
99785|Brevig Mission|AK|NOME|Low Income Area/HPSA
99727|Buckland|AK|NORTHWEST ARTIC|Low Income Area/HPSA
99729|Cantwell|AK|DENALI |HPSA
99730|Central|AK|YUKON-KOYUKUK|Low Income Area/HPSA
99561|Chefornak|AK|BETHEL|Low Income Area/HPSA
99564|Chignik|AK|LAKE AND PENINSULA|Low Income Area/HPSA
99565|Chignik Lagoon|AK|LAKE AND PENINSULA|Low Income Area/HPSA
99733|Circle|AK|YUKON-KOYUKUK|Low Income Area/HPSA
99569|Clarks Point|AK|DILLINGHAM|Low Income Area/HPSA
99704|Clear|AK|DENALI |Low Income Area/HPSA
99571|Cold Bay|AK|ALEUTIANS EAST|Low Income Area/HPSA
99573|Copper Center|AK|VALDZ-CHITNA-WHITIER |Low Income Area/HPSA
99574|Cordova|AK|VALDZ-CHITNA-WHITIER |HPSA
99921|Craig|AK|PRINCE OF WALES |Low Income Area/HPSA
99575|Crooked Creek|AK|BETHEL|HPSA
99736|Deering|AK|NORTHWEST ARTIC|Low Income Area/HPSA
99737|Delta Junction|AK|SOUTHEAST FAIRBANKS|HPSA
99755|Denali National Park|AK|DENALI |HPSA
99576|Dillingham|AK|DILLINGHAM|Low Income Area/HPSA
99578|Eek|AK|BETHEL|Low Income Area/HPSA
99579|Egegik|AK|LAKE AND PENINSULA|Low Income Area/HPSA
99702|Eielson AFB|AK|FAIRBANKS NORTH STAR|HPSA
99580|Ekwok|AK|DILLINGHAM|Low Income Area/HPSA
99825|Elfin Cove|AK|ANGOON |Low Income Area/HPSA
99739|Elim|AK|NOME|Low Income Area/HPSA
99506|Elmendorf AFB|AK|ANCHORAGE|Low Income Area
99701|Fairbanks|AK|FAIRBANKS NORTH STAR|Low Income Area/HPSA
99709|Fairbanks|AK|FAIRBANKS NORTH STAR|HPSA
99712|Fairbanks|AK|FAIRBANKS NORTH STAR|HPSA
99583|False Pass|AK|ALEUTIANS EAST|Low Income Area/HPSA
99505|Fort Richardson|AK|ANCHORAGE|Low Income Area
99703|Fort Wainwright|AK|FAIRBANKS NORTH STAR|Low Income Area/HPSA
99740|Fort Yukon|AK|YUKON-KOYUKUK|Low Income Area/HPSA
99586|Gakona|AK|VALDZ-CHITNA-WHITIER |Low Income Area/HPSA
99741|Galena|AK|YUKON-KOYUKUK|Low Income Area/HPSA
99742|Gambell|AK|NOME|Low Income Area/HPSA
99588|Glennallen|AK|VALDZ-CHITNA-WHITIER |Low Income Area/HPSA
99589|Goodnews Bay|AK|BETHEL|Low Income Area/HPSA
99826|Gustavus|AK|ANGOON |Low Income Area/HPSA
99827|Haines|AK|HAINES|HPSA
99743|Healy|AK|DENALI |HPSA
99602|Holy Cross|AK|YUKON-KOYUKUK|Low Income Area/HPSA
99603|Homer|AK|KENAI PENINSULA|Low Income Area
99829|Hoonah|AK|ANGOON |Low Income Area/HPSA
99604|Hooper Bay|AK|WADE HAMPTON|Low Income Area/HPSA
99745|Hughes|AK|YUKON-KOYUKUK|Low Income Area/HPSA
99746|Huslia|AK|YUKON-KOYUKUK|Low Income Area/HPSA
99922|Hydaburg|AK|PRINCE OF WALES |Low Income Area/HPSA
99923|Hyder|AK|PRINCE OF WALES |HPSA
99606|Iliamna|AK|LAKE AND PENINSULA|Low Income Area/HPSA
99801|Juneau|AK|JUNEAU|HPSA
99747|Kaktovik|AK|NORTH SLOPE|Low Income Area/HPSA
99607|Kalskag|AK|BETHEL|Low Income Area/HPSA
99748|Kaltag|AK|YUKON-KOYUKUK|Low Income Area/HPSA
99950|Ketchikan|AK|KETCHIKAN GATEWAY|Low Income Area/HPSA
99901|Ketchikan|AK|KETCHIKAN GATEWAY|HPSA
99749|Kiana|AK|NORTHWEST ARTIC|Low Income Area/HPSA
99612|King Cove|AK|ALEUTIANS EAST|Low Income Area/HPSA
99613|King Salmon|AK|BRISTOL BAY BOROUGH|HPSA
99614|Kipnuk|AK|BETHEL|Low Income Area/HPSA
99750|Kivalina|AK|NORTHWEST ARTIC|Low Income Area/HPSA
99925|Klawock|AK|PRINCE OF WALES |Low Income Area/HPSA
99751|Kobuk|AK|NORTHWEST ARTIC|Low Income Area/HPSA
99620|Kotlik|AK|WADE HAMPTON|Low Income Area/HPSA
99752|Kotzebue|AK|NORTHWEST ARTIC|Low Income Area/HPSA
99753|Koyuk|AK|NOME|Low Income Area/HPSA
99621|Kwethluk|AK|BETHEL|Low Income Area/HPSA
99622|Kwigillingok|AK|BETHEL|Low Income Area/HPSA
99757|Lake Minchumina|AK|YUKON-KOYUKUK|Low Income Area/HPSA
99625|Levelock|AK|LAKE AND PENINSULA|Low Income Area/HPSA
99626|Lower Kalskag|AK|BETHEL|Low Income Area/HPSA
99756|Manley Hot Springs|AK|YUKON-KOYUKUK|Low Income Area/HPSA
99628|Manokotak|AK|DILLINGHAM|Low Income Area/HPSA
99585|Marshall|AK|WADE HAMPTON|Low Income Area/HPSA
